Country Name,Country Code,Indicator Name,Indicator Code,2019
Isle of Man,IMN,CO2 emissions (kt),EN.ATM.CO2E.KT,
India,IND,CO2 emissions (kt),EN.ATM.CO2E.KT,2456300
Not classified,INX,CO2 emissions (kt),EN.ATM.CO2E.KT,
Ireland,IRL,CO2 emissions (kt),EN.ATM.CO2E.KT,35750
"Iran, Islamic Rep.",IRN,CO2 emissions (kt),EN.ATM.CO2E.KT,630010
Iraq,IRQ,CO2 emissions (kt),EN.ATM.CO2E.KT,174560
Iceland,ISL,CO2 emissions (kt),EN.ATM.CO2E.KT,1640
Israel,ISR,CO2 emissions (kt),EN.ATM.CO2E.KT,62650
Italy,ITA,CO2 emissions (kt),EN.ATM.CO2E.KT,317240
Jamaica,JAM,CO2 emissions (kt),EN.ATM.CO2E.KT,8390
Jordan,JOR,CO2 emissions (kt),EN.ATM.CO2E.KT,24630
Japan,JPN,CO2 emissions (kt),EN.ATM.CO2E.KT,1081570
Kazakhstan,KAZ,CO2 emissions (kt),EN.ATM.CO2E.KT,212110
Kenya,KEN,CO2 emissions (kt),EN.ATM.CO2E.KT,22280
Kyrgyz Republic,KGZ,CO2 emissions (kt),EN.ATM.CO2E.KT,10050
Cambodia,KHM,CO2 emissions (kt),EN.ATM.CO2E.KT,16180
Kiribati,KIR,CO2 emissions (kt),EN.ATM.CO2E.KT,90
St. Kitts and Nevis,KNA,CO2 emissions (kt),EN.ATM.CO2E.KT,250
"Korea, Rep.",KOR,CO2 emissions (kt),EN.ATM.CO2E.KT,610790
Kuwait,KWT,CO2 emissions (kt),EN.ATM.CO2E.KT,92650
Latin America & Caribbean (excluding high income),LAC,CO2 emissions (kt),EN.ATM.CO2E.KT,1382400
Lao PDR,LAO,CO2 emissions (kt),EN.ATM.CO2E.KT,18710
Lebanon,LBN,CO2 emissions (kt),EN.ATM.CO2E.KT,27950
Liberia,LBR,CO2 emissions (kt),EN.ATM.CO2E.KT,1180
Libya,LBY,CO2 emissions (kt),EN.ATM.CO2E.KT,56800
St. Lucia,LCA,CO2 emissions (kt),EN.ATM.CO2E.KT,540
Latin America & Caribbean,LCN,CO2 emissions (kt),EN.ATM.CO2E.KT,1652376
Least developed countries: UN classification,LDC,CO2 emissions (kt),EN.ATM.CO2E.KT,357640
Low income,LIC,CO2 emissions (kt),EN.ATM.CO2E.KT,196950
Liechtenstein,LIE,CO2 emissions (kt),EN.ATM.CO2E.KT,150
Sri Lanka,LKA,CO2 emissions (kt),EN.ATM.CO2E.KT,23780
Lower middle income,LMC,CO2 emissions (kt),EN.ATM.CO2E.KT,5794899
Low & middle income,LMY,CO2 emissions (kt),EN.ATM.CO2E.KT,21909427
Lesotho,LSO,CO2 emissions (kt),EN.ATM.CO2E.KT,770
Late-demographic dividend,LTE,CO2 emissions (kt),EN.ATM.CO2E.KT,15499528
Lithuania,LTU,CO2 emissions (kt),EN.ATM.CO2E.KT,11730
Luxembourg,LUX,CO2 emissions (kt),EN.ATM.CO2E.KT,9490
Latvia,LVA,CO2 emissions (kt),EN.ATM.CO2E.KT,7570
"Macao SAR, China",MAC,CO2 emissions (kt),EN.ATM.CO2E.KT,
St. Martin (French part),MAF,CO2 emissions (kt),EN.ATM.CO2E.KT,
Morocco,MAR,CO2 emissions (kt),EN.ATM.CO2E.KT,71480
Monaco,MCO,CO2 emissions (kt),EN.ATM.CO2E.KT,
Moldova,MDA,CO2 emissions (kt),EN.ATM.CO2E.KT,8860
Madagascar,MDG,CO2 emissions (kt),EN.ATM.CO2E.KT,4120
Maldives,MDV,CO2 emissions (kt),EN.ATM.CO2E.KT,2110
Middle East & North Africa,MEA,CO2 emissions (kt),EN.ATM.CO2E.KT,2555925
Mexico,MEX,CO2 emissions (kt),EN.ATM.CO2E.KT,449270
Marshall Islands,MHL,CO2 emissions (kt),EN.ATM.CO2E.KT,180
Middle income,MIC,CO2 emissions (kt),EN.ATM.CO2E.KT,21712598
North Macedonia,MKD,CO2 emissions (kt),EN.ATM.CO2E.KT,8300
Mali,MLI,CO2 emissions (kt),EN.ATM.CO2E.KT,5830
Malta,MLT,CO2 emissions (kt),EN.ATM.CO2E.KT,1660
Myanmar,MMR,CO2 emissions (kt),EN.ATM.CO2E.KT,36720
Middle East & North Africa (excluding high income),MNA,CO2 emissions (kt),EN.ATM.CO2E.KT,1489227
Montenegro,MNE,CO2 emissions (kt),EN.ATM.CO2E.KT,2600
Mongolia,MNG,CO2 emissions (kt),EN.ATM.CO2E.KT,23070
Northern Mariana Islands,MNP,CO2 emissions (kt),EN.ATM.CO2E.KT,
Mozambique,MOZ,CO2 emissions (kt),EN.ATM.CO2E.KT,7500
Mauritania,MRT,CO2 emissions (kt),EN.ATM.CO2E.KT,3950
Mauritius,MUS,CO2 emissions (kt),EN.ATM.CO2E.KT,4170
Malawi,MWI,CO2 emissions (kt),EN.ATM.CO2E.KT,1450
Malaysia,MYS,CO2 emissions (kt),EN.ATM.CO2E.KT,253270
North America,NAC,CO2 emissions (kt),EN.ATM.CO2E.KT,5399720
Namibia,NAM,CO2 emissions (kt),EN.ATM.CO2E.KT,4220
New Caledonia,NCL,CO2 emissions (kt),EN.ATM.CO2E.KT,
Niger,NER,CO2 emissions (kt),EN.ATM.CO2E.KT,2150
Nigeria,NGA,CO2 emissions (kt),EN.ATM.CO2E.KT,115280
Nicaragua,NIC,CO2 emissions (kt),EN.ATM.CO2E.KT,5240
Netherlands,NLD,CO2 emissions (kt),EN.ATM.CO2E.KT,146340
Norway,NOR,CO2 emissions (kt),EN.ATM.CO2E.KT,35950
Nepal,NPL,CO2 emissions (kt),EN.ATM.CO2E.KT,13450
Nauru,NRU,CO2 emissions (kt),EN.ATM.CO2E.KT,60
New Zealand,NZL,CO2 emissions (kt),EN.ATM.CO2E.KT,34010
OECD members,OED,CO2 emissions (kt),EN.ATM.CO2E.KT,11610640
Oman,OMN,CO2 emissions (kt),EN.ATM.CO2E.KT,76030
Other small states,OSS,CO2 emissions (kt),EN.ATM.CO2E.KT,190929
Pakistan,PAK,CO2 emissions (kt),EN.ATM.CO2E.KT,190570
Panama,PAN,CO2 emissions (kt),EN.ATM.CO2E.KT,13340
Peru,PER,CO2 emissions (kt),EN.ATM.CO2E.KT,56750
Philippines,PHL,CO2 emissions (kt),EN.ATM.CO2E.KT,145420
Palau,PLW,CO2 emissions (kt),EN.ATM.CO2E.KT,250
Papua New Guinea,PNG,CO2 emissions (kt),EN.ATM.CO2E.KT,7580
Poland,POL,CO2 emissions (kt),EN.ATM.CO2E.KT,295130
Pre-demographic dividend,PRE,CO2 emissions (kt),EN.ATM.CO2E.KT,489870
Puerto Rico,PRI,CO2 emissions (kt),EN.ATM.CO2E.KT,
"Korea, Dem. People's Rep.",PRK,CO2 emissions (kt),EN.ATM.CO2E.KT,56040
Portugal,PRT,CO2 emissions (kt),EN.ATM.CO2E.KT,44640
Paraguay,PRY,CO2 emissions (kt),EN.ATM.CO2E.KT,8210
West Bank and Gaza,PSE,CO2 emissions (kt),EN.ATM.CO2E.KT,
Pacific island small states,PSS,CO2 emissions (kt),EN.ATM.CO2E.KT,3430
Post-demographic dividend,PST,CO2 emissions (kt),EN.ATM.CO2E.KT,10602393
French Polynesia,PYF,CO2 emissions (kt),EN.ATM.CO2E.KT,
Qatar,QAT,CO2 emissions (kt),EN.ATM.CO2E.KT,91970
Romania,ROU,CO2 emissions (kt),EN.ATM.CO2E.KT,73950
Russian Federation,RUS,CO2 emissions (kt),EN.ATM.CO2E.KT,1703590
Rwanda,RWA,CO2 emissions (kt),EN.ATM.CO2E.KT,1330
South Asia,SAS,CO2 emissions (kt),EN.ATM.CO2E.KT,2784080
Saudi Arabia,SAU,CO2 emissions (kt),EN.ATM.CO2E.KT,523780
Sudan,SDN,CO2 emissions (kt),EN.ATM.CO2E.KT,20620
Senegal,SEN,CO2 emissions (kt),EN.ATM.CO2E.KT,10620
Singapore,SGP,CO2 emissions (kt),EN.ATM.CO2E.KT,47380
Solomon Islands,SLB,CO2 emissions (kt),EN.ATM.CO2E.KT,360
Sierra Leone,SLE,CO2 emissions (kt),EN.ATM.CO2E.KT,900
El Salvador,SLV,CO2 emissions (kt),EN.ATM.CO2E.KT,7800
San Marino,SMR,CO2 emissions (kt),EN.ATM.CO2E.KT,
Somalia,SOM,CO2 emissions (kt),EN.ATM.CO2E.KT,690
Serbia,SRB,CO2 emissions (kt),EN.ATM.CO2E.KT,45950
